instance_id,true_label,predicted_label_a,predicted_label_b,a_correct,b_correct
0029/000591#0,box,box,box,True,True
0059/001646#0,box,box,box,True,True
0059/001646#1,can,can,can,True,True
0029/000821#0,box,box,box,True,True
0029/000821#1,box,box,box,True,True
0044/002361#0,box,box,box,True,True
0044/002361#1,can,can,can,True,True
0044/002361#2,box,box,box,True,True
0044/002361#3,box,box,box,True,True
0077/000691#0,box,box,box,True,True
0048/000301#0,can,can,can,True,True
0007/001531#0,box,box,box,True,True
0007/001531#1,bottle,box,box,False,False
0007/001531#3,mug,mug,mug,True,True
0041/000486#0,can,can,can,True,True
0041/000486#1,box,box,box,True,True
0048/000081#0,can,can,can,True,True
0077/000396#0,box,box,box,True,True
0029/000561#0,box,box,box,True,True
0029/000796#0,box,box,box,True,True
0029/000796#1,box,box,box,True,True
0008/000421#0,can,can,can,True,True
0008/000421#1,bottle,box,box,False,False
0008/000421#2,bottle,bottle,bottle,True,True
0048/000431#0,can,can,can,True,True
0029/000376#0,box,box,box,True,True
0048/001686#0,can,can,can,True,True
0044/000836#0,box,box,box,True,True
0044/000836#1,can,can,can,True,True
0044/000836#2,box,box,box,True,True
0044/000836#3,box,box,box,True,True
0048/001456#0,can,can,can,True,True
0050/001136#0,box,box,box,True,True
0050/001136#1,can,can,can,True,True
0019/000881#1,box,box,box,True,True
0019/000881#2,box,box,box,True,True
0019/000881#3,box,box,box,True,True
0008/002311#0,can,can,can,True,True
0008/002311#1,bottle,bottle,bottle,True,True
0041/000116#0,can,can,can,True,True
0041/000116#1,box,box,box,True,True
0041/000116#2,box,box,box,True,True
0044/000176#0,box,box,box,True,True
0044/000176#1,can,can,can,True,True
0044/000176#3,box,box,box,True,True
0008/002981#0,can,can,can,True,True
0008/002981#1,bottle,bottle,bottle,True,True
0008/002981#2,bottle,bottle,bottle,True,True
0008/000026#0,can,can,can,True,True
0044/002536#0,box,box,box,True,True
0044/002536#1,can,can,can,True,True
0044/002536#2,box,box,box,True,True
0044/002536#3,box,box,box,True,True
0026/000666#0,bottle,bottle,bottle,True,True
0008/001036#0,can,can,can,True,True
0059/001826#0,box,box,box,True,True
0059/001826#1,can,can,can,True,True
0050/000946#0,box,box,box,True,True
0050/000946#1,can,can,can,True,True
0019/000246#1,box,box,box,True,True
0019/000246#3,box,box,box,True,True
0008/002591#0,can,can,can,True,True
0008/002591#1,bottle,box,box,False,False
0008/002591#2,bottle,box,box,False,False
0029/000236#0,box,box,box,True,True
0007/000646#1,bottle,bottle,bottle,True,True
0007/000646#3,mug,mug,mug,True,True
0059/001546#0,box,box,box,True,True
0059/001546#1,can,can,can,True,True
0050/000761#0,box,box,box,True,True
0050/000761#1,can,can,can,True,True
0050/001886#0,box,box,box,True,True
0050/001886#1,can,can,can,True,True
0044/001781#0,box,box,box,True,True
0044/001781#1,can,can,can,True,True
0044/001781#2,box,box,box,True,True
0007/001736#0,box,box,box,True,True
0007/001736#1,bottle,bottle,box,True,False
0007/001736#3,mug,box,box,False,False
0048/000151#0,can,can,can,True,True
0048/000436#0,can,can,can,True,True
0019/002021#0,box,box,box,True,True
0019/002021#1,box,box,box,True,True
0044/001351#0,box,box,box,True,True
0044/001351#1,can,can,can,True,True
0044/001351#2,box,box,box,True,True
0050/001501#0,box,box,box,True,True
0050/001501#1,can,can,can,True,True
0048/000331#0,can,can,can,True,True
0008/000206#0,can,can,can,True,True
0059/001501#0,box,box,box,True,True
0059/001501#1,can,can,can,True,True
0050/000406#0,box,box,box,True,True
0050/000406#1,can,can,can,True,True
0007/000401#1,bottle,box,box,False,False
0007/000401#2,bowl,bowl,bowl,True,True
0007/000401#3,mug,box,box,False,False
0044/000016#0,box,box,box,True,True
0044/000016#1,can,can,can,True,True
0044/000016#3,box,box,box,True,True
0048/000726#0,can,can,can,True,True
0019/001021#1,box,box,box,True,True
0019/001021#3,box,box,mug,True,False
0044/000466#0,box,box,box,True,True
0044/000466#1,can,can,can,True,True
0044/000466#3,box,box,box,True,True
0050/000246#0,box,box,box,True,True
0050/000246#1,can,can,can,True,True
0059/000456#1,can,can,can,True,True
0048/001711#0,can,can,can,True,True
0048/001711#1,mug,box,box,False,False
0044/001516#0,box,box,box,True,True
0044/001516#1,can,can,can,True,True
0044/001516#2,box,box,box,True,True
0059/001811#0,box,box,box,True,True
0059/001811#1,can,can,can,True,True
0059/000291#1,can,can,can,True,True
0048/001616#0,can,can,can,True,True
0007/000551#1,bottle,bottle,bottle,True,True
0007/000551#3,mug,mug,mug,True,True
0007/001261#0,box,box,box,True,True
0007/001261#1,bottle,bottle,bottle,True,True
0008/000321#1,bottle,bottle,bottle,True,True
0044/002476#0,box,box,box,True,True
0044/002476#1,can,can,can,True,True
0044/002476#2,box,box,box,True,True
0044/002476#3,box,box,box,True,True
0044/001761#0,box,box,box,True,True
0044/001761#1,can,can,can,True,True
0044/001761#2,box,box,box,True,True
0011/000681#1,bowl,bowl,bowl,True,True
0011/000681#2,mug,mug,mug,True,True
0050/001321#0,box,box,box,True,True
0050/001321#1,can,can,can,True,True
0008/002196#0,can,can,can,True,True
0008/002196#1,bottle,bottle,bottle,True,True
0008/002196#2,bottle,bottle,bottle,True,True
0048/000446#0,can,can,can,True,True
0041/000811#0,can,can,can,True,True
0041/000811#1,box,box,box,True,True
0041/000811#2,box,box,box,True,True
0008/001866#0,can,can,can,True,True
0011/000031#1,bowl,box,box,False,False
0011/000031#2,mug,mug,mug,True,True
0041/000311#0,can,can,can,True,True
0041/000311#1,box,box,box,True,True
0041/000311#2,box,box,box,True,True
0050/000211#0,box,box,box,True,True
0050/000211#1,can,can,can,True,True
0026/000221#0,bottle,bottle,bottle,True,True
0029/000461#0,box,box,box,True,True
0059/001491#1,can,can,can,True,True
0050/000626#0,box,box,box,True,True
0059/001131#0,box,box,box,True,True
0059/001131#1,can,can,can,True,True
0050/000031#1,can,can,can,True,True
0059/000621#1,can,can,can,True,True
0041/002136#0,can,can,can,True,True
0041/002136#1,box,box,box,True,True
0048/000801#0,can,can,can,True,True
0077/000441#0,box,box,box,True,True
0026/000641#0,bottle,bottle,bottle,True,True
0050/000871#0,box,box,box,True,True
0050/000871#1,can,can,can,True,True
0059/000501#1,can,can,can,True,True
0007/001766#0,box,box,box,True,True
0007/001766#3,mug,box,box,False,False
0059/000026#1,can,can,can,True,True
0026/000511#0,bottle,bottle,bottle,True,True
0008/002871#0,can,can,can,True,True
0008/002871#1,bottle,box,box,False,False
0008/000311#1,bottle,bottle,bottle,True,True
0008/000646#0,can,can,can,True,True
0059/001046#0,box,box,box,True,True
0059/001046#1,can,can,can,True,True
0048/000661#0,can,can,can,True,True
0050/000316#0,box,box,box,True,True
0050/000316#1,can,can,can,True,True
0044/000751#0,box,box,box,True,True
0044/000751#1,can,can,can,True,True
0044/000751#2,box,box,box,True,True
0044/000751#3,box,box,box,True,True
0050/001496#0,box,box,box,True,True
0050/001496#1,can,can,can,True,True
0050/001496#2,bottle,bottle,bottle,True,True
0029/001101#0,box,box,box,True,True
0029/001101#1,box,box,box,True,True
0059/000931#0,box,box,box,True,True
0059/000931#1,can,can,can,True,True
0019/001126#1,box,box,box,True,True
0019/001126#3,box,box,box,True,True
0048/001941#0,can,can,can,True,True
0048/001941#1,mug,box,box,False,False
0011/001071#2,mug,mug,mug,True,True
0041/000206#0,can,can,can,True,True
0041/000206#1,box,box,box,True,True
0041/000206#2,box,box,box,True,True
0044/000026#0,box,box,box,True,True
0044/000026#1,can,can,can,True,True
0044/000026#2,box,box,box,True,True
0044/000026#3,box,box,box,True,True
0008/000221#0,can,can,can,True,True
0077/000011#0,box,box,box,True,True
0048/001276#0,can,can,can,True,True
0044/001801#0,box,box,box,True,True
0044/001801#1,can,can,can,True,True
0044/001801#2,box,box,box,True,True
0041/001861#0,can,can,can,True,True
0041/001861#1,box,box,box,True,True
0041/000626#0,can,can,can,True,True
0041/000626#1,box,box,box,True,True
0019/001506#1,box,box,box,True,True
0019/001506#3,box,box,box,True,True
0044/000396#1,can,can,can,True,True
0044/000396#3,box,box,box,True,True
0041/001016#0,can,can,can,True,True
0041/001016#1,box,box,box,True,True
0041/001016#2,box,box,box,True,True
0048/002196#0,can,can,can,True,True
0048/002196#1,mug,box,box,False,False
0008/000586#0,bottle,box,box,False,False
0008/000586#1,bottle,bottle,bottle,True,True
0007/000686#1,bottle,bottle,bottle,True,True
0007/000686#3,mug,box,box,False,False
0007/002011#0,box,box,box,True,True
0007/002011#1,bottle,box,box,False,False
0007/002011#2,bowl,bowl,bowl,True,True
0007/002011#3,mug,mug,mug,True,True
0050/000206#0,box,box,box,True,True
0050/000206#1,can,can,can,True,True
0008/001941#0,can,can,can,True,True
0029/000951#0,box,box,box,True,True
0029/000951#1,box,box,box,True,True
0041/001356#0,can,can,can,True,True
0029/000121#0,box,box,box,True,True
0029/000856#0,box,box,box,True,True
0029/000856#1,box,box,box,True,True
0011/000916#2,mug,box,box,False,False
0008/002551#0,can,can,can,True,True
0008/002551#1,bottle,bottle,bottle,True,True
0008/002551#2,bottle,bottle,bottle,True,True
0048/000071#0,can,can,can,True,True
0007/001621#0,box,box,box,True,True
0007/001621#1,bottle,bottle,bottle,True,True
0007/001621#3,mug,mug,mug,True,True
0059/001326#0,box,box,box,True,True
0059/001326#1,can,can,can,True,True
0026/000391#0,bottle,bottle,bottle,True,True
0008/000996#0,can,can,can,True,True
0007/001511#0,box,box,box,True,True
0007/001511#1,bottle,box,box,False,False
0007/001511#2,bowl,bowl,bowl,True,True
0007/001511#3,mug,mug,mug,True,True
0019/001481#0,box,box,box,True,True
0019/001481#1,box,box,box,True,True
0019/001481#3,box,box,box,True,True
0050/001401#0,box,box,box,True,True
0050/001401#1,can,can,can,True,True
0050/001401#2,bottle,bottle,bottle,True,True
